name,composition,uses,side_effects,category,manufacturer,requires_prescription,is_otc,symptom_keywords,recommendation_note,price,stock,image_url,source_url
A Vogel Devils Claw Harpagophytum,,", dan Efek Samping"",""meta_description"":""Informasi lengkap obat Vitamin B Kompleks IPI; Harga, Manfaat, Dosis \u0026 Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""type"":""obat"",""media_images"":[{""original"":""https://asset-cdn.medkom",Konsultasikan dengan dokter,Suplemen,,False,True,vitamin,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/a-vogel-devils-claw-harpagophytum
A-B Vask,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-hipertensi/ab-vask
Abajos,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antinyeri/abajos
Abate,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini"" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/d2jcsq82NlrdCmja0s9c9/original/025100100_1602140069-shutterstock_1354413635.jpg,https://www.klikdokter.com/obat/obat-lainnya/abate
Abbotic,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antibiotik/abbotic
ABC Menthol Cone,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/abc-menthol-cone
Abdelyn,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/abdelyn
Abetens,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/abetens
Abilify,,", Dosis &amp; Cara minum, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis &amp; cara minum, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/vylgTaBqAGi2qLk1RJb17/original/075795400_1641867355-bipolar.jpg,https://www.klikdokter.com/obat/obat-gangguan-saraf-pusat/abilify
Abirom,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/aSNcTnD2fT3ExehvRcYll/original/025650300_1593763517-Sering-Sesak-Napas-Hati-hati_-Gejala-Hipertensi-Paru-shutterstock_1716789742.jpg,https://www.klikdokter.com/obat/obat-antibiotik/abirom
